MovieID;Title;KoreanTitle;Plot;ReleaseYear;RunningTime;GradeID;GradeInKoreaID;Poster;ReleaseDateInKorea;BoxOfficeWWGross;BoxOfficeUSGross;Budget
5696;"The Last Truck: Closing of a GM Plant";;"To the residents of Moraine, Ohio, General Motors was more than just a car company, it was the lifeblood of a community. In the wake of GM‘s 2008 announcement that it was closing the plant, stunned workers looked back at their careers at GM, reminiscing about the opportunities, friendships and pride that the factory line had given them. Through their words, this documentary stands as an elegy to a dying American manufacturing system--and a timely look at the U.S. auto industry in crisis. ";2009;40;6;NULL;TheLastTruck.jpg;1900-01-01;0;0;0
5697;"The Cove";"더 코브 : 슬픈 돌고래의 진실";"Using state-of-the-art equipment, a group of activists, led by renowned dolphin trainer Ric O‘Barry, infiltrate a cove near Taijii, Japan to expose both a shocking instance of animal abuse and a serious threat to human health. ";2009;92;2;NULL;TheCove.jpg;2009-10-29;1162422;857005;0
5698;"Burma VJ: Reporting from a Closed Country";"버마 VJ";"Using smuggled footage, this documentary tells the story of the 2007 protests in Burma by thousands of monks. ";2008;84;7;NULL;BurmaVJ.jpg;1900-01-01;0;0;0
5699;"Food, Inc.";"푸드, Inc.";"An unflattering look inside America‘s corporate controlled food industry.";2008;94;7;NULL;FoodInc.jpg;1900-01-01;4606199;4417674;0
5700;"The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers";"세상에서 가장 위험한 사나이 : 다니엘 엘스버그와 펜타곤 페이퍼";""The Most Dangerous Man in America" is the story of what happens when a former Pentagon insider, armed only with his conscience, steadfast determination, and a file cabinet full of classified documents, decides to challenge an "Imperial" Presidency-answerable to neither Congress, the press, nor the people-in order to help end the Vietnam War. In 1971, Daniel Ellsberg shook America to its foundations when he smuggled a top-secret Pentagon study to the New York Times that showed how five Presidents consistently lied to the American people about the Vietnam War that was killing millions and tearing America apart. President Nixon‘s National Security Advisor Henry Kissinger called Ellsberg "the most dangerous man in America," who "had to be stopped at all costs." But Ellsberg wasn‘t stopped. Facing 115 years in prison on espionage and conspiracy charges, he fought back. Ensuing events surrounding the so-called Pentagon Papers led directly to Watergate and the downfall of President Nixon, and hastened the end of the Vietnam War. Ellsberg‘s relentless telling of truth to power, which exposed the secret deeds of an "Imperial Presidency," inspired Americans of all walks of life to forever question the previously-unchallenged pronouncements of its leaders. "The Most Dangerous Man in America" tells the inside story, for the first time on film, of this pivotal event that changed history and transformed our nation‘s political discourse. It is told largely by the players of that dramatic episode-Ellsberg, his colleagues, family and critics; Pentagon Papers authors and government officials; Vietnam veterans and anti-war activists; Watergate principals, attorneys and the journalists who both covered the story and were an integral part of it; and finally-through White House audiotapes-President Nixon and his inner circle of advisors. ";2009;92;6;NULL;TheMostDangerousManinAmerica.jpg;1900-01-01;453650;453650;0
5701;"Which Way Home";"위치 웨이 홈";""Which Way Home" is a feature documentary film that follows unaccompanied child migrants, on their journey through Mexico, as they try to reach the United States. We follow children like Olga and Freddy, nine-year old Hondurans, who are desperately trying to reach their parents in the US.; children like Jose, a ten-year old El Salvadoran, who has been abandoned by smugglers and ends up alone in a Mexican detention center; and Kevin, a canny, streetwise fourteen-year old Honduran, whose mother hopes that he will reach the U.S. and send money back to her. These are stories of hope and courage, disappointment and sorrow. They are the children you never hear about; the invisible ones. ";2009;90;6;NULL;WhichWayHome.jpg;1900-01-01;0;0;0
5702;"The Secret in Their Eyes";"엘 시크레토 : 비밀의 눈동자";"A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later. ";2009;129;1;NULL;TheSecretinTheirEyes.jpg;2010-11-11;33965279;6391436;0
5703;"The Milk of Sorrow";"밀크 오브 소로우 - 슬픈 모유";"Fausta is suffering from a rare disease called the Milk of Sorrow, which is transmitted through the breast milk of pregnant women who were abused or raped during or soon after pregnancy. While living in constant fear and confusion due to this disease, she must face the sudden death of her mother. She chooses to take drastic measures to not follow in her mother‘s footsteps. ";2009;94;11;NULL;TheMilkofSorrow.jpg;2013-08-22;10462;10462;0
5704;Ajami;아자미;"Ajami is the religiously mixed community of Muslims and Christians in Tel Aviv. These are five stories about the everyday life in Ajami. ";2009;120;6;NULL;Ajami.jpg;1900-01-01;1291848;622403;1000000
5705;"A Prophet";예언자;"A young Arab man is sent to a French prison.";2009;154;1;NULL;Prophet.jpg;2010-03-11;17873691;2087720;13000000
5706;Coraline;"코렐라인 : 비밀의 문";"An adventurous girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets. ";2009;100;3;NULL;Coraline.jpg;2009-05-21;124596398;75286229;60000000
5707;"The Secret of Kells";"켈스의 비밀";"A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers. ";2009;75;7;NULL;TheSecretofKells.jpg;1900-01-01;739454;676775;8000000
5708;"The House of Small Cubes";;"To save his house from rising flood waters, an old man uses bricks to build it higher, then he relives events from his past while searching for his dropped pipe. ";2008;12;6;NULL;TheHouseofSmallCubes.jpg;1900-01-01;0;0;0
5709;Oktapodi;;"Two Octopi fight for their lives with a stubborn restaurant cook in a comical escape through the streets of a small Greek village. ";2007;3;6;NULL;Oktapodi.jpg;1900-01-01;0;0;0
5710;Presto;프레스토;"A stage magician‘s rabbit gets into a magical onstage brawl against his neglectful guardian with two magic hats. ";2008;5;4;NULL;Presto.jpg;1900-01-01;0;0;0
5711;"This Way Up";;"A.T Shank & Son have a bad day at the parlour when a falling boulder flattens their hearse. Emotional and literal pitfalls lie in wait for the odd couple as they make their way cross country with just a coffin for company. This short animated caper puts the fun back into funeral as their journey and relationship unravel on an epic scale. ";2008;8;4;NULL;ThisWayUp.jpg;1900-01-01;0;0;0
5712;"Lavatory Lovestory";;"A single middle aged lady working as receptionist and cleaner in a public lavatory for men spends her time between chores reading "Happy Woman" and daydreaming about a loving partner. When an unknown man starts leaving flowers at her desk, she gets excited but also increasingly stressed out trying to figure out who is her secret admirer or, perhaps, the prankster. ";2007;10;6;NULL;LavatoryLovestory.jpg;1900-01-01;0;0;0
5713;Toyland;토이랜드;"A German mother lies to her son about where the Nazis are sending their Jewish neighbors. ";2007;14;9;NULL;Toyland.jpg;1900-01-01;0;0;0
5714;"On the Line";사선에서;"A department store security guard is secretly in love with a clerk in the store‘s bookshop. When he witnesses a seeming rival being attacked in the train, he gets off instead of helping him. Not being able to deal with his bad conscience, his formerly controlled life breaks down. ";2007;30;6;NULL;OntheLine.jpg;1900-01-01;0;0;0
5715;"The Pig";돼지;"Is personal freedom more important than religious rights? An epic debate staged over a tiny painting in a bare hospital room.";2008;23;7;NULL;ThePig.jpg;1900-01-01;0;0;0
5716;"Manon on the Asphalt";"아스팔트 위의 마농";"A woman gains a new insight of life while she‘s near death.";2007;15;6;NULL;ManonontheAsphalt.jpg;1900-01-01;0;0;0
